nameOfIssuer	titleOfClass	cusip	value	sshPrnamt	sshPrnamtType	investmentDiscretion	Sole	Shared	None	otherManager	putCall
ACTUANT CORP	CL A NEW	00508X203	13178	507831	SH	SOLE	507831	0	0	n/a	n/a
ACTUANT CORP	CL A NEW	00508X203	117	4500	SH	SOLE	0	0	4500	2	n/a
ACUITY BRANDS INC	COM	00508Y102	111777	484178	SH	SOLE	484178	0	0	n/a	n/a
ACUITY BRANDS INC	COM	00508Y102	3580	15507	SH	SOLE	0	0	15507	2	n/a
ACURA PHARMACEUTICALS INC	COM PAR	00509L802	2	3204	SH	SOLE	3204	0	0	n/a	n/a
ACUSHNET HOLDINGS CORP	COM	005098108	158	8033	SH	SOLE	8033	0	0	n/a	n/a
ACXIOM CORP	COM	005125109	1123	41896	SH	SOLE	41896	0	0	n/a	n/a
ADAMAS PHARMACEUTICALS INC	COM	00548A106	143	8489	SH	SOLE	8489	0	0	n/a	n/a
ADAMIS PHARMACEUTICALS CORP	COM NEW	00547W208	16	4970	SH	SOLE	4970	0	0	n/a	n/a
ADAMS DIVERSIFIED EQUITY FD	COM	006212104	32	2485	SH	OTR	2485	0	0	n/a	n/a
ADAMS RES & ENERGY INC	COM NEW	006351308	42	1065	SH	SOLE	1065	0	0	n/a	n/a
ADCARE HEALTH SYSTEMS INC	COM NEW	00650W300	11	7324	SH	SOLE	7324	0	0	n/a	n/a
ADDUS HOMECARE CORP	COM	006739106	142	4044	SH	SOLE	4044	0	0	n/a	n/a
ADECOAGRO S A	COM	L00849106	1142	110000	SH	SOLE	110000	0	0	n/a	n/a
ADEPTUS HEALTH INC	CL A	006855100	59	7682	SH	SOLE	7682	0	0	n/a	n/a
ADIENT PLC	ORD SHS	G0084W101	3087	52685	SH	SOLE	52685	0	0	n/a	n/a
ADOBE SYS INC	COM	00724F101	35330	343177	SH	SOLE	325361	0	17816	n/a	n/a
ADOBE SYS INC	COM	00724F101	26704	259387	SH	SOLE	0	0	259387	2	n/a
ADTRAN INC	COM	00738A106	580	25937	SH	SOLE	25937	0	0	n/a	n/a
ADURO BIOTECH INC	COM	00739L101	737	64663	SH	SOLE	64663	0	0	n/a	n/a
ADVANCE AUTO PARTS INC	COM	00751Y106	665	3935	SH	OTR	0	3935	0	n/a	n/a
ADVANCE AUTO PARTS INC	COM	00751Y106	8799	52030	SH	SOLE	52030	0	0	n/a	n/a
ADVANCE AUTO PARTS INC	COM	00751Y106	4545	26877	SH	SOLE	0	0	26877	2	n/a
ADVANCED DISP SVCS INC DEL	COM	00790X101	12202	549138	SH	SOLE	549138	0	0	n/a	n/a
ADVANCED DRAIN SYS INC DEL	COM	00790R104	389	18877	SH	SOLE	18877	0	0	n/a	n/a
ADVANCED EMISSIONS SOLUTS IN	COM	00770C101	4620	499975	SH	SOLE	499975	0	0	n/a	n/a
ADVANCED ENERGY INDS	COM	007973100	1160	21181	SH	SOLE	21181	0	0	n/a	n/a
ADVANCED MICRO DEVICES INC	COM	007903107	31744	2799269	SH	SOLE	2799269	0	0	n/a	n/a
ADVANCED MICRO DEVICES INC	OPTIONS	007903107	113	10000	SH	OTR	10000	0	0	n/a	Put
ADVANCED MICRO DEVICES INC	NOTE 2.125% 9/0	007903BD8	259	164000	PRN	OTR	164000	0	0	n/a	n/a
ADVANCEPIERRE FOODS HLDGS IN	COM	00782L107	16957	569416	SH	SOLE	569416	0	0	n/a	n/a
ADVANSIX INC	COM	00773T101	118	5321	SH	SOLE	5320	0	1	n/a	n/a
ADVAXIS INC	COM NEW	007624208	132	18482	SH	SOLE	18482	0	0	n/a	n/a
ADVERUM BIOTECHNOLOGIES INC	COM	00773U108	35	12128	SH	SOLE	12128	0	0	n/a	n/a
ADVISORY BRD CO	COM	00762W107	721	21672	SH	SOLE	21672	0	0	n/a	n/a
AECOM	COM	00766T100	22898	629758	SH	SOLE	629758	0	0	n/a	n/a
AEGION CORP	COM	00770F104	3989	168299	SH	SOLE	168299	0	0	n/a	n/a
AEMETIS INC	COM NEW	00770K202	5	3787	SH	SOLE	3787	0	0	n/a	n/a
AEP INDS INC	COM	001031103	244	2104	SH	SOLE	2104	0	0	n/a	n/a
AERCAP HOLDINGS NV	SHS	N00985106	2923	70250	SH	SOLE	70250	0	0	n/a	n/a
AERIE PHARMACEUTICALS INC	COM	00771V108	607	16027	SH	SOLE	16027	0	0	n/a	n/a
AEROHIVE NETWORKS INC	COM	007786106	47	8244	SH	SOLE	8244	0	0	n/a	n/a
AEROJET ROCKETDYNE HLDGS INC	COM	007800105	5326	296705	SH	SOLE	296705	0	0	n/a	n/a
AEROVIRONMENT INC	COM	008073108	286	10673	SH	SOLE	10673	0	0	n/a	n/a
AES CORP	COM	00130H105	159956	13765610	SH	SOLE	13765610	0	0	n/a	n/a
AES CORP	COM	00130H105	4706	404959	SH	SOLE	0	0	404959	2	n/a
AETNA INC NEW	COM	00817Y108	828813	6683434	SH	SOLE	6671355	0	12079	n/a	n/a
AETNA INC NEW	COM	00817Y108	23997	193511	SH	SOLE	0	0	193511	2	n/a
AEVI GENOMIC MEDICINE INC	COM	00835P105	86	16692	SH	SOLE	16692	0	0	n/a	n/a
AFFILIATED MANAGERS GROUP	COM	008252108	6317	43479	SH	SOLE	43479	0	0	n/a	n/a
AFLAC INC	COM	001055102	1128	16212	SH	OTR	0	16212	0	n/a	n/a
AFLAC INC	COM	001055102	2593	37257	SH	SOLE	37257	0	0	n/a	n/a
AFLAC INC	COM	001055102	16540	237644	SH	SOLE	0	0	237644	2	n/a
AG MTG INVT TR INC	COM	001228105	259	15123	SH	SOLE	15123	0	0	n/a	n/a
AGCO CORP	COM	001084102	3656	63180	SH	SOLE	63180	0	0	n/a	n/a
AGCO CORP	COM	001084102	3772	65190	SH	SOLE	0	0	65190	2	n/a
AGENUS INC	COM NEW	00847G705	154	37338	SH	SOLE	37338	0	0	n/a	n/a
AGILE THERAPEUTICS INC	COM	00847L100	27	4696	SH	SOLE	4696	0	0	n/a	n/a
AGILENT TECHNOLOGIES INC	COM	00846U101	37575	824740	SH	SOLE	824740	0	0	n/a	n/a
AGILENT TECHNOLOGIES INC	COM	00846U101	9279	203660	SH	SOLE	0	0	203660	2	n/a
AGILYSYS INC	COM	00847J105	88	8526	SH	SOLE	8526	0	0	n/a	n/a
AGIOS PHARMACEUTICALS INC	COM	00847X104	8451	202518	SH	SOLE	202518	0	0	n/a	n/a
AGNC INVT CORP	COM	00123Q104	4081	225112	SH	SOLE	225112	0	0	n/a	n/a
AGNC INVT CORP	COM	00123Q104	1987	109624	SH	SOLE	0	0	109624	2	n/a
AGREE REALTY CORP	COM	008492100	1829	39707	SH	SOLE	39707	0	0	n/a	n/a
AGROFRESH SOLUTIONS	COM	00856G109	23	8518	SH	SOLE	8518	0	0	n/a	n/a
AGROFRESH SOLUTIONS	*W EXP 07/31/202	00856G117	11	62027	SH	OTR	62027	0	0	n/a	n/a
AIMMUNE THERAPEUTICS INC	COM	00900T107	265	12955	SH	SOLE	12955	0	0	n/a	n/a
AIR LEASE CORP	CL A	00912X302	1971	57419	SH	SOLE	57419	0	0	n/a	n/a
AIR METHODS CORP	COM PAR $.06	009128307	589	18481	SH	SOLE	18481	0	0	n/a	n/a
AIR PRODS & CHEMS INC	COM	009158106	158142	1099581	SH	SOLE	1088991	0	10590	n/a	n/a
AIR PRODS & CHEMS INC	COM	009158106	25583	177885	SH	SOLE	62114	0	115771	2	n/a
AIR TRANSPORT SERVICES GRP I	COM	00922R105	406	25468	SH	SOLE	25468	0	0	n/a	n/a
AIRCASTLE LTD	COM	G0129K104	547	26219	SH	SOLE	26219	0	0	n/a	n/a
AK STL HLDG CORP	COM	001547108	9931	972712	SH	SOLE	972712	0	0	n/a	n/a
AKAMAI TECHNOLOGIES INC	COM	00971T101	18690	280298	SH	SOLE	280298	0	0	n/a	n/a
AKAMAI TECHNOLOGIES INC	COM	00971T101	7263	108918	SH	SOLE	0	0	108918	2	n/a
AKEBIA THERAPEUTICS INC	COM	00972D105	193	18554	SH	SOLE	18554	0	0	n/a	n/a
AKORN INC	COM	009728106	1097	50273	SH	SOLE	50273	0	0	n/a	n/a
ALAMO GROUP INC	COM	011311107	391	5138	SH	SOLE	5138	0	0	n/a	n/a
ALARM COM HLDGS INC	COM	011642105	160	5736	SH	SOLE	5736	0	0	n/a	n/a
ALASKA AIR GROUP INC	COM	011659109	4817	54283	SH	SOLE	54283	0	0	n/a	n/a
ALBANY INTL CORP	CL A	012348108	7216	155854	SH	SOLE	155854	0	0	n/a	n/a
ALBANY MOLECULAR RESH INC	COM	012423109	4693	250181	SH	SOLE	250181	0	0	n/a	n/a
ALBEMARLE CORP	COM	012653101	8704	101116	SH	SOLE	99053	0	2063	n/a	n/a
ALBEMARLE CORP	COM	012653101	5436	63146	SH	SOLE	0	0	63146	2	n/a
ALCOA CORP	COM	013872106	383	13657	SH	OTR	0	13657	0	n/a	n/a
ALCOA CORP	COM	013872106	2368	84317	SH	SOLE	84317	0	0	n/a	n/a
ALDER BIOPHARMACEUTICALS INC	COM	014339105	5429	261025	SH	SOLE	240103	0	20922	n/a	n/a
ALDEYRA THERAPEUTICS INC	COM	01438T106	16	2978	SH	SOLE	2978	0	0	n/a	n/a
ALERE INC	COM	01449J105	27	700	SH	OTR	700	0	0	n/a	n/a
ALERE INC	COM	01449J105	1977	50740	SH	SOLE	50740	0	0	n/a	n/a
ALERE INC	OPTIONS	01449J105	4560	117000	SH	SOLE	117000	0	0	n/a	Put
ALEXANDER & BALDWIN INC NEW	COM	014491104	9039	201440	SH	SOLE	201440	0	0	n/a	n/a
ALEXANDERS INC	COM	014752109	1151	2697	SH	SOLE	2697	0	0	n/a	n/a
ALEXANDRIA REAL ESTATE EQ IN	COM	015271109	17900	161072	SH	SOLE	161072	0	0	n/a	n/a
ALEXANDRIA REAL ESTATE EQ IN	COM	015271109	5453	49066	SH	SOLE	0	0	49066	2	n/a
ALEXION PHARMACEUTICALS INC	COM	015351109	198814	1624965	SH	SOLE	1624965	0	0	n/a	n/a
ALEXION PHARMACEUTICALS INC	COM	015351109	15428	126098	SH	SOLE	15446	0	110652	2	n/a
ALIBABA GROUP HLDG LTD	OPTIONS	01609W102	281	3200	SH	OTR	3200	0	0	n/a	Put
ALIBABA GROUP HLDG LTD	SPONSORED ADS	01609W102	1060	12066	SH	OTR	0	12066	0	n/a	n/a
ALIBABA GROUP HLDG LTD	SPONSORED ADS	01609W102	224500	2556659	SH	SOLE	2556659	0	0	n/a	n/a
ALICO INC	COM	016230104	46	1690	SH	SOLE	1690	0	0	n/a	n/a
ALIGN TECHNOLOGY INC	COM	016255101	4468	46482	SH	SOLE	46482	0	0	n/a	n/a
ALIGN TECHNOLOGY INC	COM	016255101	5901	61382	SH	SOLE	0	0	61382	2	n/a
ALIMERA SCIENCES INC	COM	016259103	8	7469	SH	SOLE	7469	0	0	n/a	n/a
ALJ REGIONAL HLDGS INC	COM	001627108	30	6941	SH	SOLE	6941	0	0	n/a	n/a
ALKERMES PLC	SHS	G01767105	26738	481079	SH	SOLE	481079	0	0	n/a	n/a
ALKERMES PLC	SHS	G01767105	4628	83274	SH	SOLE	0	0	83274	2	n/a
ALLEGHANY CORP DEL	COM	017175100	10813	17781	SH	SOLE	17781	0	0	n/a	n/a
ALLEGHANY CORP DEL	COM	017175100	7375	12127	SH	SOLE	0	0	12127	2	n/a
ALLEGHENY TECHNOLOGIES INC	COM	01741R102	908	56987	SH	SOLE	56987	0	0	n/a	n/a
ALLEGIANCE BANCSHARES INC	COM	01748H107	154	4255	SH	SOLE	4255	0	0	n/a	n/a
ALLEGIANT TRAVEL CO	COM	01748X102	1151	6916	SH	SOLE	6916	0	0	n/a	n/a
ALLEGION PUB LTD CO	ORD SHS	G0176J109	2733	42703	SH	SOLE	42703	0	0	n/a	n/a
ALLERGAN PLC	SHS	G0177J108	201892	961343	SH	SOLE	953034	0	8309	n/a	n/a
ALLERGAN PLC	SHS	G0177J108	31876	151781	SH	SOLE	0	0	151781	2	n/a
ALLERGAN PLC	PFD CONV SER A	G0177J116	87822	115182	SH	SOLE	115182	0	0	n/a	n/a
ALLETE INC	COM NEW	018522300	13476	209945	SH	SOLE	209945	0	0	n/a	n/a
ALLIANCE DATA SYSTEMS CORP	COM	018581108	13119	57414	SH	SOLE	57414	0	0	n/a	n/a
ALLIANCE DATA SYSTEMS CORP	COM	018581108	6392	27973	SH	SOLE	0	0	27973	2	n/a
ALLIANCE HEALTHCARE SRVCS IN	COM PAR	018606301	29	3061	SH	SOLE	3061	0	0	n/a	n/a
ALLIANCE ONE INTL INC	COM NEW	018772301	91	4717	SH	SOLE	4717	0	0	n/a	n/a
ALLIANT ENERGY CORP	COM	018802108	4015	105965	SH	SOLE	105965	0	0	n/a	n/a
ALLIANT ENERGY CORP	COM	018802108	8434	222580	SH	SOLE	0	0	222580	2	n/a
ALLIED MOTION TECHNOLOGIES I	COM	019330109	89	4146	SH	SOLE	4146	0	0	n/a	n/a
ALLIED WRLD ASSUR COM HLDG A	SHS	H01531104	15023	279702	SH	SOLE	279702	0	0	n/a	n/a
ALLISON TRANSMISSION HLDGS I	COM	01973R101	16515	490192	SH	SOLE	490192	0	0	n/a	n/a
ALLISON TRANSMISSION HLDGS I	COM	01973R101	339	10070	SH	SOLE	0	0	10070	2	n/a
ALLSCRIPTS HEALTHCARE SOLUTN	COM	01988P108	1123	110011	SH	SOLE	110011	0	0	n/a	n/a
ALLSTATE CORP	COM	020002101	1927	25997	SH	OTR	0	25997	0	n/a	n/a
ALLSTATE CORP	COM	020002101	236875	3195828	SH	SOLE	3195828	0	0	n/a	n/a
ALLSTATE CORP	COM	020002101	16151	217898	SH	SOLE	0	0	217898	2	n/a
ALLY FINL INC	COM	02005N100	1717	90280	SH	OTR	0	90280	0	n/a	n/a
ALLY FINL INC	COM	02005N100	56113	2950198	SH	SOLE	2950198	0	0	n/a	n/a
ALLY FINL INC	COM	02005N100	4522	237742	SH	SOLE	0	0	237742	2	n/a
ALLY FINL INC	OPTIONS	02005N100	22130	1163500	SH	SOLE	1163500	0	0	n/a	Put
ALMOST FAMILY INC	COM	020409108	202	4590	SH	SOLE	4590	0	0	n/a	n/a
ALNYLAM PHARMACEUTICALS INC	COM	02043Q107	1644	43922	SH	SOLE	43922	0	0	n/a	n/a
ALON USA ENERGY INC	COM	020520102	182	16015	SH	SOLE	16015	0	0	n/a	n/a
ALPHA & OMEGA SEMICONDUCTOR	SHS	G6331P104	2893	136017	SH	SOLE	136017	0	0	n/a	n/a
ALPHABET INC	CAP STK CL C	02079K107	670427	868631	SH	SOLE	868631	0	0	n/a	n/a
ALPHABET INC	CAP STK CL C	02079K107	117698	152494	SH	SOLE	0	0	152494	2	n/a
ALPHABET INC	CAP STK CL A	02079K305	582066	734515	SH	SOLE	726537	0	7978	n/a	n/a
ALPHABET INC	CAP STK CL A	02079K305	118686	149771	SH	SOLE	2601	0	147170	2	n/a
ALPHATEC HOLDINGS INC	COM NEW	02081G201	6	1899	SH	SOLE	1899	0	0	n/a	n/a
ALPS ETF TR	ALERIAN MLP	00162Q866	2394	190000	SH	SOLE	190000	0	0	n/a	n/a
ALTISOURCE PORTFOLIO SOLNS S	REG SHS	L0175J104	169	6343	SH	SOLE	6343	0	0	n/a	n/a
ALTISOURCE RESIDENTIAL CORP	CL B	02153W100	313	28326	SH	SOLE	28326	0	0	n/a	n/a
ALTRA INDL MOTION CORP	COM	02208R106	496	13450	SH	SOLE	13450	0	0	n/a	n/a
ALTRIA GROUP INC	COM	02209S103	393848	5824424	SH	SOLE	5786961	0	37463	n/a	n/a
ALTRIA GROUP INC	COM	02209S103	65883	974317	SH	SOLE	15436	0	958881	2	n/a
AMAG PHARMACEUTICALS INC	COM	00163U106	656	18864	SH	SOLE	18864	0	0	n/a	n/a
AMAZON COM INC	COM	023135106	815751	1087857	SH	SOLE	1082826	0	5031	n/a	n/a
AMBAC FINL GROUP INC	COM NEW	023139884	408	18131	SH	SOLE	18131	0	0	n/a	n/a
AMBARELLA INC	SHS	G037AX101	829	15316	SH	SOLE	15316	0	0	n/a	n/a
AMBER RD INC	COM	02318Y108	59	6450	SH	SOLE	6450	0	0	n/a	n/a
AMBEV SA	SPONSORED ADR	02319V103	623	126957	SH	OTR	0	126957	0	n/a	n/a
AMBEV SA	SPONSORED ADR	02319V103	6530	1330000	SH	SOLE	1330000	0	0	n/a	n/a
AMC ENTMT HLDGS INC	CL A COM	00165C104	727	21606	SH	SOLE	21606	0	0	n/a	n/a
AMC NETWORKS INC	CL A	00164V103	14255	272361	SH	SOLE	272361	0	0	n/a	n/a
AMC NETWORKS INC	OPTIONS	00164V103	4658	89000	SH	SOLE	89000	0	0	n/a	Call
AMDOCS LTD	SHS	G02602103	77563	1331556	SH	SOLE	1316753	0	14803	n/a	n/a
AMEDISYS INC	COM	023436108	51433	1206490	SH	SOLE	1206490	0	0	n/a	n/a
AMEDISYS INC	COM	023436108	3853	90380	SH	SOLE	90380	0	0	2	n/a
AMERCO	COM	023586100	1308	3539	SH	SOLE	3539	0	0	n/a	n/a
AMERCO	COM	023586100	3184	8614	SH	SOLE	0	0	8614	2	n/a
AMEREN CORP	COM	023608102	7143	136161	SH	SOLE	136161	0	0	n/a	n/a
AMEREN CORP	COM	023608102	8845	168613	SH	SOLE	0	0	168613	2	n/a
AMERESCO INC	CL A	02361E108	61	11047	SH	SOLE	11047	0	0	n/a	n/a
AMERICA MOVIL SAB DE CV	SPON ADR L SHS	02364W105	184	14672	SH	SOLE	14672	0	0	n/a	n/a
AMERICAN AIRLS GROUP INC	COM	02376R102	55625	1191360	SH	SOLE	1191360	0	0	n/a	n/a
AMERICAN AIRLS GROUP INC	COM	02376R102	4612	98788	SH	SOLE	0	0	98788	2	n/a
AMERICAN ASSETS TR INC	COM	024013104	2943	68304	SH	SOLE	68304	0	0	n/a	n/a
AMERICAN AXLE & MFG HLDGS IN	COM	024061103	2854	147901	SH	SOLE	147901	0	0	n/a	n/a
AMERICAN CAMPUS CMNTYS INC	COM	024835100	8892	178662	SH	SOLE	178662	0	0	n/a	n/a
AMERICAN DG ENERGY INC	COM	025398108	4	13435	SH	SOLE	13435	0	0	n/a	n/a
AMERICAN EAGLE OUTFITTERS NE	COM	02553E106	3728	245732	SH	SOLE	245732	0	0	n/a	n/a
AMERICAN ELEC PWR INC	COM	025537101	23296	370015	SH	SOLE	370015	0	0	n/a	n/a
AMERICAN ELEC PWR INC	COM	025537101	15776	250574	SH	SOLE	0	0	250574	2	n/a
AMERICAN EQTY INVT LIFE HLD	COM	025676206	6962	308867	SH	SOLE	308867	0	0	n/a	n/a
AMERICAN EXPRESS CO	COM	025816109	21692	292816	SH	SOLE	292816	0	0	n/a	n/a
AMERICAN EXPRESS CO	COM	025816109	28764	388278	SH	SOLE	84503	0	303775	2	n/a
AMERICAN FINL GROUP INC OHIO	COM	025932104	4556	51700	SH	SOLE	51700	0	0	n/a	n/a
AMERICAN HOMES 4 RENT	CL A	02665T306	5524	263321	SH	SOLE	263321	0	0	n/a	n/a
AMERICAN INTL GROUP INC	COM NEW	026874784	1876	28719	SH	OTR	0	28719	0	n/a	n/a
AMERICAN INTL GROUP INC	COM NEW	026874784	414745	6350409	SH	SOLE	6350409	0	0	n/a	n/a
AMERICAN INTL GROUP INC	COM NEW	026874784	27423	419891	SH	SOLE	0	0	419891	2	n/a
AMERICAN NATL BANKSHARES INC	COM	027745108	182	5219	SH	SOLE	5219	0	0	n/a	n/a
AMERICAN NATL INS CO	COM	028591105	592	4754	SH	SOLE	4754	0	0	n/a	n/a
AMERICAN PUBLIC EDUCATION IN	COM	02913V103	206	8373	SH	SOLE	8373	0	0	n/a	n/a
AMERICAN RAILCAR INDS INC	COM	02916P103	187	4120	SH	SOLE	4120	0	0	n/a	n/a
AMERICAN RENAL ASSOCIATES HO	COM	029227105	66	3117	SH	SOLE	3117	0	0	n/a	n/a
AMERICAN RLTY INVS INC	COM	029174109	8	1631	SH	SOLE	1631	0	0	n/a	n/a
AMERICAN SOFTWARE INC	CL A	029683109	144	13921	SH	SOLE	13921	0	0	n/a	n/a
AMERICAN STS WTR CO	COM	029899101	874	19186	SH	SOLE	19186	0	0	n/a	n/a
AMERICAN SUPERCONDUCTOR CORP	SHS NEW	030111207	25	3399	SH	SOLE	3399	0	0	n/a	n/a
AMERICAN TOWER CORP NEW	COM	03027X100	26569	251412	SH	SOLE	233014	0	18398	n/a	n/a
AMERICAN TOWER CORP NEW	COM	03027X100	18477	174841	SH	SOLE	0	0	174841	2	n/a
AMERICAN TOWER CORP NEW	PFD CONV SER A	03027X308	23499	224187	SH	SOLE	224187	0	0	n/a	n/a
AMERICAN VANGUARD CORP	COM	030371108	272	14180	SH	SOLE	14180	0	0	n/a	n/a
AMERICAN WOODMARK CORP	COM	030506109	549	7296	SH	SOLE	7296	0	0	n/a	n/a
AMERICAN WTR WKS CO INC NEW	COM	030420103	54800	757330	SH	SOLE	757330	0	0	n/a	n/a
AMERICAN WTR WKS CO INC NEW	COM	030420103	9144	126368	SH	SOLE	0	0	126368	2	n/a
AMERICAS CAR MART INC	COM	03062T105	660	15097	SH	SOLE	15097	0	0	n/a	n/a
AMERIPRISE FINL INC	COM	03076C106	29882	269349	SH	SOLE	269349	0	0	n/a	n/a
AMERIPRISE FINL INC	COM	03076C106	8205	73960	SH	SOLE	19150	0	54810	2	n/a
AMERIS BANCORP	COM	03076K108	872	20005	SH	SOLE	20005	0	0	n/a	n/a
AMERISAFE INC	COM	03071H100	628	10066	SH	SOLE	10066	0	0	n/a	n/a
AMERISOURCEBERGEN CORP	COM	03073E105	36385	465346	SH	SOLE	465346	0	0	n/a	n/a
AMERISOURCEBERGEN CORP	COM	03073E105	7457	95374	SH	SOLE	0	0	95374	2	n/a
AMES NATL CORP	COM	031001100	169	5116	SH	SOLE	5116	0	0	n/a	n/a
AMETEK INC NEW	COM	031100100	12752	262388	SH	SOLE	241087	0	21301	n/a	n/a
AMGEN INC	COM	031162100	307442	2102746	SH	SOLE	2088956	0	13790	n/a	n/a
AMGEN INC	COM	031162100	55963	382760	SH	SOLE	13000	0	369760	2	n/a
AMICUS THERAPEUTICS INC	COM	03152W109	414	83321	SH	SOLE	83321	0	0	n/a	n/a
AMKOR TECHNOLOGY INC	COM	031652100	4047	383616	SH	SOLE	383616	0	0	n/a	n/a
AMN HEALTHCARE SERVICES INC	COM	001744101	969	25202	SH	SOLE	25202	0	0	n/a	n/a
AMPCO-PITTSBURGH CORP	COM	032037103	83	4972	SH	SOLE	4972	0	0	n/a	n/a
AMPHASTAR PHARMACEUTICALS IN	COM	03209R103	370	20114	SH	SOLE	20114	0	0	n/a	n/a
AMPHENOL CORP NEW	CL A	032095101	22117	329126	SH	SOLE	303948	0	25178	n/a	n/a
